AZ,32.281,-110.730,AGUA CALIENTE,86,,,,,,,
AZ,31.695,-110.963,AGUA CALIENTE SPRING,90,,,,,,,
AZ,32.984,-113.324,AGUA CALIENTE SPRINGS,102,,,,,,,
AZ,31.673,-109.902,ANTELOPE SPRING,79,,,,,,,
AZ,31.362,-109.265,ASTIN SPRING,75,,,,,,,
AZ,34.925,-114.221,CALICHE SPRING,79,,,,,,,
AZ,35.213,-113.425,CASA GRANDE SPRING,72,,,,,,,
AZ,33.510,-110.403,CASSADORE SPRING,73,,,,,,,
AZ,33.988,-112.362,CASTLE HOT SPRINGS,115,,,,,,,
AZ,33.055,-109.295,CLIFTON HOT SPRINGS,102,,,,,,,
AZ,34.695,-113.572,COFER HOT SPRING,97,,,,,,,
AZ,36.509,-111.852,COLORADO POOL,86,,,,,,,
AZ,33.170,-110.528,COOLIDGE DAM WARM SPRING,99,,,,,,,
AZ,33.046,-109.440,EAGLE CREEK HOT SPRINGS,97,,,,,,,
AZ,35.169,-113.851,FROST MINE SPRING,70,,,,,,,
AZ,32.971,-109.350,GILLARD HOT SPRINGS,180,,,,,,,
AZ,33.008,-109.778,GRAPEVINE SPRING,91,,,,,,,
AZ,33.400,-109.152,HANNAH HOT SPRING,133,,,,,,,
AZ,32.336,-110.240,HOOKERS HOT SPRINGS,127,,,,,,,
AZ,35.984,-114.742,HOT SPRING, H,,,,,,,
AZ,33.080,-109.303,HOT SPRING,138,,,,,,,
AZ,35.960,-114.725,HOT SPRING,86,,,,,,,
AZ,32.998,-109.901,INDIAN HOT SPRINGS,118,,,,,,,
AZ,34.563,-113.497,KAISER HOT SPRING,99,,,,,,,
AZ,36.196,-113.081,LAVA WARM SPRINGS,90,,,,,,,
AZ,31.592,-109.510,LEWIS SPRING,68,,,,,,,
AZ,32.337,-110.708,MERCER SPRING,77,,,,,,,
AZ,33.152,-110.639,MESCAL WARM SPRING,84,,,,,,,
AZ,33.915,-112.332,MITCHELL SPRING,79,,,,,,,
AZ,31.637,-110.703,MONKEY SPRING,82,,,,,,,
AZ,32.327,-110.228,N-O SPRING,73,,,,,,,
AZ,34.896,-114.308,OATMAN WARM SPRINGS,91,,,,,,,
AZ,36.418,-113.956,PAKOON SPRINGS,86,,,,,,,
AZ,33.209,-110.818,PIONEER SPRING,91,,,,,,,
AZ,31.943,-113.013,QUITOBAQUITO SPRINGS,90,,,,,,,
AZ,32.741,-114.068,RADIUM HOT SPRINGS,140,,,,,,,
AZ,33.669,-111.165,ROOSEVELT DAM SPRINGS,118,,,,,,,
AZ,34.436,-109.402,SALADO SPRINGS,72,,,,,,,
AZ,33.831,-110.574,SALT BANKS,78,,,,,,,
AZ,33.075,-109.298,SEEP,, ,,,,,,
AZ,34.649,-111.744,SODA SPRING,75,,,,,,,
AZ,34.405,-111.602,SPRING,72,,,,,,,
AZ,33.253,-110.703,SPRING,75,,,,,,,
AZ,33.163,-110.662,SPRING,82,,,,,,,
AZ,34.445,-112.693,SPRING,72,,,,,,,
